DesignRoleTechnique;LOC;CC;Efferent;NOP;
UNDEFINED;53;11;14;4;
[IPREDICATE];21;6;7;3;
COSTASSIGNMENTPOLICY;21;4;7;3;
[FEATURE];21;4;7;3;
SEEKREADER;21;5;7;3;
ABSTRACTFEATURESORTER;21;4;7;3;
ABSTRACTATTRIBUTEDTYPE;21;4;7;3;
[IADDMILESTONECOMMAND];21;4;7;3;
[IURLHANDLERREGISTRY];21;4;7;3;
SWFTAGTYPESIMPL;21;4;7;9;
JCASRESOURCECOLLECTIONREADER_IMPLBASE;212;47;34;11;
ALLOCATIONMODIFICATION;21;4;7;3;
HESSIANPROXY;21;4;7;3;
[ANNOTATIONEDITOREXTENSIONREGISTRY];21;4;8;8;
[SERVLETCONTEXTINITIALIZER];21;4;7;3;
[ATTRIBUTECONVERTER];21;4;7;3;
STEPRESULT;21;4;7;3;
[RENDERER];21;4;7;3;
ABSTRACTDEFAULTAJAXBEHAVIOR;21;4;7;3;
[REQUESTPAYLOAD];21;4;7;3;
SPRINGBOOTSERVLETINITIALIZER;21;4;7;3;
FORMAUTHENTICATIONFILTER;22;5;10;4;
[LAYERINITIALIZER];24;4;11;3;
PREFERENCES;27;6;7;3;
[IADVANCECONSOLIDATIONCOMMAND];21;4;7;3;
GJNOARGUDEPTHFIRST;21;4;7;3;
[REFERENCESEQUENCEFILE];21;4;10;3;
[ENTRYBINDING];21;4;7;3;
HBOX;21;5;7;3;
[COMMENT];21;4;7;3;
CONSTRAINT;21;7;7;3;
[JSONSERIALIZER];21;5;8;3;
[DBKEY| VALIDATABLE];21;4;7;3;
[COLUMNAFFINITY];21;4;7;3;
[PRERENDERER];21;4;9;5;
[SLACKMETHOD];21;4;7;4;
[LIFECYCLE| APPLICATIONCONTEXTAWARE| HASVALIDATOR];70;15;16;3;
RECORDREADER;22;6;10;3;
COOKIECOMPARATORRESULT;21;4;7;3;
JQUERYPLUGINRESOURCEREFERENCE;21;4;7;3;
CHAINBASE;21;4;7;3;
INTERVAL;21;4;7;3;
CONFIGPATHEDITOR;21;4;7;3;
OBSERVABLE;29;5;9;3;
PROPERTYPLACEHOLDERCONFIGURER;21;4;7;3;
[RECRAWLDATASCHEMA];21;4;7;3;
[ISCENARIOMANAGER];21;4;7;3;
BASERICHSPOUT;21;4;7;3;
DIV;41;7;7;3;
OPERATION;21;4;7;3;
LINKEDAPIREQUESTMANAGER;100;27;13;4;
CREDENTIAL;21;9;7;3;
LINKCONTEXT;21;19;7;3;
HTTPDATAMANAGER;21;4;11;5;
[TEMPDIRPROVIDER];21;4;7;3;
[IBINDINGORDERELEMENTSTRATEGY];21;4;7;3;
ABSTRACTMOJO;21;4;7;3;
[IBANDBOXFINDER];21;4;7;3;
BASEAUTHENTICATOR;21;4;7;3;
[GENEFEATURE];34;11;7;3;
WORKQUEUE;29;6;9;3;
BASICPHASECONVERTER;21;4;10;3;
ACTIVEDIRECTORYREALM;35;5;13;3;
[MAILMESSAGE];21;4;7;3;
[ITASKFUNDAMENTALPROPERTIES];21;4;7;3;
[ICOSTCALCULATOR];21;9;8;4;
[GSTAG];21;4;7;3;
[IRESOURCE];21;4;7;3;
TERMMAP;21;4;7;3;
[URIUNIQFILTER];66;19;9;3;
[ITAB];21;4;7;3;
CHOICERENDERER;21;4;7;3;
