DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
UNDEFINED,com.cognifide.aet.runner.util.MessagesHelper,filter,9,3,4,1,0,2232,D:\Projetos\_Web\aet\aet-core\runner\src\main\java\com\cognifide\aet\runner\util\MessagesHelper.java
UNDEFINED,com.cognifide.aet.runner.util.MessagesHelper,getAetQueuesObjects,12,2,6,1,0,1779,D:\Projetos\_Web\aet\aet-core\runner\src\main\java\com\cognifide\aet\runner\util\MessagesHelper.java
UNDEFINED,com.cognifide.aet.runner.util.MessagesHelper,setupConnection,5,1,5,1,0,1533,D:\Projetos\_Web\aet\aet-core\runner\src\main\java\com\cognifide\aet\runner\util\MessagesHelper.java
ABSTRACTMODULE,com.cognifide.aet.runner.modules.SimpleRunnerModule,configure,20,1,3,0,0,2920,D:\Projetos\_Web\aet\aet-core\runner\src\main\java\com\cognifide\aet\runner\modules\SimpleRunnerModule.java
TEST,com.cognifide.aet.job.common.collectors.performance.clientside.ClientSidePerformanceCollectorTest,collect_whenWrapperHasNoProxy_expectProcessingException,4,1,2,0,0,2312,D:\Projetos\_Web\aet\aet-jobs\job-common\src\test\java\com\cognifide\aet\job\common\collectors\performance\clientside\ClientSidePerformanceCollectorTest.java
TEST,com.cognifide.aet.job.common.collectors.performance.clientside.ClientSidePerformanceCollectorTest,setUp,3,1,1,0,0,2167,D:\Projetos\_Web\aet\aet-jobs\job-common\src\test\java\com\cognifide\aet\job\common\collectors\performance\clientside\ClientSidePerformanceCollectorTest.java
TEST,com.cognifide.aet.job.common.collectors.performance.clientside.ClientSidePerformanceCollectorTest,collect_whenTrue,10,1,8,0,0,2528,D:\Projetos\_Web\aet\aet-jobs\job-common\src\test\java\com\cognifide\aet\job\common\collectors\performance\clientside\ClientSidePerformanceCollectorTest.java
TEST,com.cognifide.aet.vs.gridfs.version.BasicArtifactsVersionManagerTest,verifyRemoveArtifactsRemoveNotUsedInDryRunMode,10,1,8,0,0,3308,D:\Projetos\_Web\aet\aet-core\datastorage-gridfs-impl\src\test\java\com\cognifide\aet\vs\gridfs\version\BasicArtifactsVersionManagerTest.java
TEST,com.cognifide.aet.vs.gridfs.version.BasicArtifactsVersionManagerTest,verifyRemoveArtifactsWithAllArtifactTypesPerformed,6,1,4,0,0,5746,D:\Projetos\_Web\aet\aet-core\datastorage-gridfs-impl\src\test\java\com\cognifide\aet\vs\gridfs\version\BasicArtifactsVersionManagerTest.java
TEST,com.cognifide.aet.vs.gridfs.version.BasicArtifactsVersionManagerTest,getBasicMockedQuery,11,3,8,3,0,6239,D:\Projetos\_Web\aet\aet-core\datastorage-gridfs-impl\src\test\java\com\cognifide\aet\vs\gridfs\version\BasicArtifactsVersionManagerTest.java
